,interaction,features,odds,p,is_significant,q,log_o,log_q
5670,CHEBI:16077:-,IPR000811,74.62222222222222,0.0005982558995372653,True,0.004318060903702351,1.8728681780266863,2.3647112364910594
5671,CHEBI:16469:+,IPR014876,108.33870967741936,0.0003430632603596049,True,0.002911871632812252,2.0347836588004387,2.535827774410547
5673,CHEBI:4167:-,IPR016275,15000.0,0.0003453208109299077,True,0.0029239417340735626,4.176091259055681,2.534031285894224
5674,CHEBI:16469:+,IPR000387,39.354838709677416,0.001746128155268561,True,0.00936780348966067,1.5949981368404755,2.0283622281247555
5675,CHEBI:17677:-,IPR036238,46.2027972027972,0.002669827118761823,True,0.012217824307986378,1.664668269343256,1.9130061243030958
5676,CHEBI:16113:-,IPR018333,640.952380952381,3.321333902493482e-05,True,0.00048703925962418986,2.8068257651540387,3.312436029440541
5677,CHEBI:16113:-,IPR032696,213.5873015873016,0.00011025259818998836,True,0.0012690334836020487,2.329575429000255,2.896526918841655
5678,CHEBI:16113:-,IPR032697,640.952380952381,3.321333902493482e-05,True,0.00048703925962418986,2.8068257651540387,3.312436029440541
5680,CHEBI:15351:+,IPR018955,144.4731182795699,0.00022941044901491928,True,0.002247453947149489,2.1597870466156914,2.6483091986842853
5681,CHEBI:16908:+,IPR029014,120.93693693693693,0.00032138351679473733,True,0.002766564098491103,2.0825589646979674,2.5580592631695116
5682,CHEBI:9532:+,IPR017900,41.975,0.0015016005091858832,True,0.008447122817785473,1.6229907048100864,2.073291191303475
5683,CHEBI:62517:-,IPR015931,1349.0,5.5196788818806e-06,True,0.000113991998820236,3.1300119496719043,3.943125631033432
5685,CHEBI:16469:+,IPR016130,36.06989247311828,0.0020309330199392577,True,0.010495197356236467,1.557144847657953,1.9790093903432682
5686,CHEBI:16469:+,IPR015655,86.65806451612903,0.0004788200950536172,True,0.003746961360049306,1.9378089849597009,2.426320785476763
5687,CHEBI:16077:+,IPR018129,224.5,8.330262924206317e-05,True,0.0010115094682649187,2.351216345339342,2.9950300476475396
5688,CHEBI:62517:-,IPR015928,1349.0,5.5196788818806e-06,True,0.000113991998820236,3.1300119496719043,3.943125631033432
5689,CHEBI:16077:+,IPR021135,224.5,8.330262924206317e-05,True,0.0010115094682649187,2.351216345339342,2.9950300476475396
5690,CHEBI:28368:-,IPR018521,280.25,8.510327683581663e-05,True,0.0010290583744025541,2.4475456212670106,2.9875599887343114
5691,CHEBI:16077:+,IPR022805,224.5,8.330262924206317e-05,True,0.0010115094682649187,2.351216345339342,2.9950300476475396
5692,CHEBI:4170:-,IPR011059,11.843555555555556,0.015618797029903543,True,0.03477462795215711,1.073482101571758,1.4587375077540186
